"Time","Temperature of Sphere","Ambient Temperature"
1.016667,61.6,25.6
1.020833,61.3,25.4
1.025000,61.3,25.8
1.029167,61.6,26.2
1.033333,60.3,26.0
1.037500,59.5,26.4
1.041667,59.3,25.8
1.045833,59.5,25.8
1.050000,59.7,26.2
1.054167,59.3,25.8
1.058333,59.1,26.2
1.062500,59.3,26.2
1.066667,58.3,25.8
1.070833,59.1,26.0
1.075000,58.7,26.4
1.079167,57.8,25.8
1.083333,57.8,26.0
1.087500,57.2,25.4
1.091667,57.4,26.2
1.095833,56.4,26.6
1.100000,56.4,25.8
1.104167,56.6,25.6
1.108333,55.6,26.0
1.112500,55.6,26.0
1.116667,55.8,25.8
1.120833,55.4,26.0
1.125000,55.4,26.2
1.129167,55.0,25.8
1.133333,55.4,25.8
1.137500,54.6,25.8
1.141667,54.3,26.0
1.145833,53.7,25.8
1.150000,53.5,25.4
1.154167,54.3,25.6
1.158333,53.7,25.6
1.162500,53.7,25.8
1.166667,53.3,26.2
1.170833,53.3,25.8
1.175000,52.7,25.6
1.179167,52.7,25.6
1.183333,52.3,25.2
1.187500,52.3,25.6
1.191667,51.9,25.0
1.195833,52.1,26.0
1.200000,52.3,26.2
1.204167,51.7,26.4
1.208333,50.6,26.0
1.212500,50.8,25.2
1.216667,50.8,26.2
1.220833,51.3,26.0
1.225000,49.8,25.8
1.229167,49.8,25.8
1.233333,50.2,26.0
1.237500,50.0,26.0
1.241667,50.0,25.8
1.245833,49.8,26.4
1.250000,49.4,25.8
1.254167,49.0,25.8
1.258333,48.6,25.6
1.262500,49.0,25.0
1.266667,48.6,25.0
1.270833,48.8,26.6
1.275000,49.2,25.8
1.279167,48.4,26.0
1.283333,47.8,26.2
1.287500,48.4,25.6
1.291667,48.4,26.0
1.295833,47.3,25.4
1.300000,47.5,26.0
1.304167,48.0,25.4
1.308333,46.9,24.8
1.312500,47.1,26.0
1.316667,47.5,26.6
1.320833,46.7,26.4
1.325000,46.9,25.6
1.329167,46.5,25.2
1.333333,46.7,25.4
1.337500,46.1,25.2
1.341667,46.1,25.2
1.345833,46.1,25.8
1.350000,45.7,25.6
1.354167,45.9,26.2
1.358333,45.1,26.6
1.362500,45.3,26.0
1.366667,45.1,25.6
1.370833,45.1,26.4
1.375000,45.1,26.0
1.379167,45.1,25.2
1.383333,45.1,25.8
1.387500,44.3,26.0
1.391667,43.8,24.6
1.395833,44.5,26.0
1.400000,43.8,25.6
1.404167,44.0,25.4
1.408333,43.8,25.8
1.412500,43.6,25.8
1.416667,44.5,25.8
1.420833,44.0,25.4
1.425000,43.2,24.8
1.429167,43.2,25.2
1.433333,43.0,25.4
1.437500,43.4,25.4
1.441667,42.6,25.6
1.445833,43.0,25.4
1.450000,43.0,25.6
1.454167,43.0,26.0
1.458333,43.2,25.8
1.462500,42.2,26.0
1.466667,42.4,25.6
1.470833,42.2,25.6
1.475000,41.8,25.6
1.479167,42.2,25.8
1.483333,42.0,25.6
1.487500,42.0,26.4
1.491667,41.8,25.0
1.495833,41.8,25.2
1.500000,42.0,26.2
