Time Stamp (s),10,9,8,7,6,5,4,3,2,1,Thermocouples
3380916845,74.401,73.233,76.732,72.064,74.401,74.984,89.439,120.432,173.253,211.422,
3380916847,75.858,74.109,74.984,74.984,72.649,77.895,90.299,119.601,176.922,210.915,
3380916849,75.276,74.984,74.109,74.984,72.941,77.313,91.158,119.601,177.445,212.689,
3380916851,76.441,74.109,76.441,73.817,72.356,78.766,90.585,122.646,178.229,211.422,
3380916853,73.233,73.817,76.732,72.941,75.567,77.313,92.016,124.302,178.491,215.218,
3380916855,76.732,74.109,76.732,75.276,72.356,77.895,92.016,124.578,180.578,213.448,
3380916857,72.941,74.401,76.732,72.649,76.15,77.313,94.3,124.854,179.535,216.481,
3380916859,74.109,76.15,74.984,74.109,74.984,78.766,95.44,124.854,182.402,214.46,
3380916861,76.15,73.817,76.15,74.401,73.525,80.216,94.87,127.057,182.922,213.701,
3380916863,73.817,76.441,76.441,74.693,75.276,77.023,98.566,126.231,183.442,216.481,
3380916865,75.276,73.525,77.604,72.941,75.858,79.636,95.724,129.529,183.442,216.986,
3380916867,76.441,74.109,77.604,74.984,74.401,80.506,96.862,128.98,185.001,215.724,
3380916869,73.525,77.023,75.276,74.693,75.567,79.056,99.701,129.529,186.039,217.238,
3380916871,74.109,75.858,76.15,74.693,75.567,80.216,99.701,130.352,186.039,217.994,
3380916873,77.023,73.525,78.476,74.401,75.276,81.664,98.283,132.542,185.78,217.238,
3380916875,75.858,76.15,75.858,75.858,74.693,81.374,101.4,131.174,188.112,217.49,
3380916877,76.441,75.567,75.276,75.858,76.441,81.953,100.551,131.721,189.664,218.75,
3380916879,74.401,75.858,77.604,73.233,77.023,81.085,102.53,134.454,187.076,220.009,
3380916881,76.15,76.732,75.567,75.858,75.276,83.109,101.682,133.362,189.147,219.758,
3380916883,74.109,76.15,76.441,74.109,78.476,82.242,103.942,136.363,189.664,222.021,
3380916885,77.023,73.525,78.766,74.693,75.567,84.84,102.248,136.907,190.44,220.261,
3380916887,77.023,77.604,76.15,75.858,75.858,83.686,104.787,135.273,191.73,220.009,
3380916889,77.604,73.817,77.604,74.693,77.313,85.416,103.095,138.539,190.698,220.261,
3380916891,76.732,75.858,76.15,77.023,76.732,84.84,105.069,137.452,193.277,219.506,
3380916893,75.567,77.313,77.023,75.567,77.023,82.531,107.039,139.354,191.988,219.758,
3380916895,76.441,74.984,77.023,76.732,75.567,85.992,104.787,139.626,193.277,217.742,
3380916897,74.693,77.023,77.023,75.858,77.895,83.398,109.004,139.626,192.762,219.758,
3380916899,77.895,74.693,77.895,74.984,77.023,87.717,105.632,142.878,192.246,219.254,
3380916901,74.984,78.476,77.023,76.15,77.895,84.552,109.004,140.982,193.793,220.261,
3380916903,74.693,76.15,79.346,75.276,78.476,85.992,108.443,143.148,191.988,223.778,
3380916905,75.567,74.984,79.346,74.109,78.476,86.855,108.162,144.77,193.535,222.774,
3380916907,76.15,77.023,75.858,76.732,78.185,86.568,110.406,142.607,195.851,222.523,
3380916909,78.766,75.276,78.476,77.023,77.313,88.579,110.126,145.04,195.851,222.021,
3380916911,77.313,75.567,77.895,75.276,78.185,89.439,110.406,145.849,195.594,222.774,
3380916913,75.858,77.023,77.895,73.817,80.506,87.717,112.364,145.31,195.594,224.781,
3380916915,75.276,76.732,78.185,75.276,81.085,87.717,113.202,145.849,195.851,225.783,
3380916917,78.185,75.858,76.15,76.732,78.766,88.866,112.364,146.389,198.931,223.778,
3380916919,75.276,76.732,79.056,74.693,81.085,89.726,113.76,146.658,195.851,226.534,
3380916921,78.185,77.313,77.313,77.313,79.346,90.299,114.318,146.119,198.931,224.781,
3380916923,78.766,76.441,79.056,77.604,79.346,92.302,113.481,149.887,197.905,224.028,
3380916925,78.476,75.567,80.216,76.15,80.216,91.73,115.154,149.081,198.418,224.279,
3380916927,78.185,74.693,79.636,75.858,80.216,93.159,114.039,150.961,198.931,225.031,
3380916929,78.476,75.858,78.766,76.15,80.795,92.302,115.433,150.961,199.444,225.282,
3380916931,77.313,77.895,76.441,76.732,81.664,91.158,117.38,149.081,200.98,225.532,
3380916933,75.567,77.895,78.185,75.567,82.531,90.585,117.102,151.498,199.7,227.284,
3380916935,75.276,79.346,76.15,78.185,80.795,91.73,118.769,150.693,201.492,227.034,
3380916937,77.895,74.693,80.216,75.276,81.953,94.3,115.989,153.105,199.188,227.284,
